Bank,Rows,With_Coords
Federal Bank,100,0
Cholamandalam,100,100
Aadhar Housing,100,0
ICICI HFC,100,100
IndusInd Bank,100,100
TVS Credit,100,95
Protium,100,97
Sewa Bank,76,76
Varthana Finance,39,39
Satya Microhousing,52,52
Capri Global,100,100
MAS Financial,66,0
Patron Finance,4,3
SMFG Grihashakti,100,100
Tyger Home Finance,100,100
Berar Finance,100,100
CSL Finance,41,1
IKF Finance,100,0
Sammaan Capital,100,0
