Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
,ODISHA,SAMBALPUR,SAMBALPUR,Jana Small Finance Bank Ltd Ground Floor Quality Mansion Nayapada  Golbazzar Sambalpur  768001,768001,,
,TAMIL NADU,CHENNAI,PERAMBUR,"Jana Small Finance Bank, No 24 Kennedy square  3rd street, Pallavan salai ,Perambur Chennai -600011",600011,,
,MADHYA PRADESH,REWA,RAGHUNATH GANJ,"Jana Small Finance Bank Ltd., Gram Tikura Post Raghunathganj Tahsil Mangwan, Mauganj, Rewa, Raghunathganj, Madhya Pradesh, 486338",486338,,
,MAHARASHTRA,THANE,VASHI,"Jana Small Finance Bank Limited, Apsara Building, Shop No. 10,11 & 104, Opp Arenja Corner, Sector 17, Vashi, Navi Mumbai-400703",400703,,
,HARYANA,FARIDABAD,BALLABHGARH,"Jana Small Finance Bank, FCA-57, 1st Floor, Chawla colony, 100ft road, Ballabhgarh, Faridabad 121004",121004,,
,RAJASTHAN,JAIPUR,MANASASAROVAR,"Jana Small Finance Bank Ltd., Plot no.-119/483, madhyam marg, Ward No- 27, Sector-6, Mansarovar, Jaipur, Rajasthan-302020",302020,,
,TAMIL NADU,SALEM,SALEM,"Jana Small Finance Bank Ltd , No.259/4/129 , Seshammal Towers, Saradha College Road, Opp to Anna Salai, Alagapuram, Salem – 636016",636016,,
,KARNATAKA,BANGALORE RURAL,DODDABALLAPUR,"Jana Small Finance Bank Ltd., Ground floor, &1st Floor, Door No. #66 Khata No. 865/66 , Rojipura, D Cross, Near Nandi Hospital,Doddaballapura, Bangalore -561203,India",561203,,
,MAHARASHTRA,THANE,KALYAN,"Jana Small Finance Bank Ltd, No.281, Hissa no. 2, , City Survey no.3434, situated at Bail Bazaar, Near Fortis, Kalyan (W) , Maharastra -421301,India",421301,,
,MAHARASHTRA,YAVATMAL,YAVATMAL,"JANA SMALL FINANCE BANK, GAURAV COMPLEX , GROUND FLOOR , Survery No – 26/2,   situated at Mouja Wadgaon at Arni Road , Nagar Parisad Yavatmal , Tahsil & Dist – Yavatmal , Maharashtra ,  445002.",445002,,
,MADHYA PRADESH,INDORE,SUKHNIWAS,"Jana Small Finance Bank Ltd., GF SANJAY NAGAR HUKAMA KHEDI RETI MANDI CHOURAHA INDORE",,,
,MAHARASHTRA,MUMBAI SUBURBAN,MALAD,"Jana Small Finance Bank Ltd., Shop No. 3, Ground Floor, Lotus Link square, Jai Neptune CHS, Mith Chowky, Link Road, Malad West,Mumbai Suburban,Maharashtra,400064.",400064,,
,MADHYA PRADESH,INDORE,INDORE-5 PITHAMPUR,"Jana Small Finance Bank Ltd., Ground Floor 1,2,7,8, Indrasan, tower, sector-1, Near Police Station Pithampur- 454775 (MP),",454775,,
,GUJARAT,AHMEDABAD,SHAHIBAUG,"Jana Small Finance Bank, 1st Floor, Shop No 115&116 Advance Business Plaza, Near Namaskar Circle, Opp Swami Narayan Temple, Shahibaug, Ahmedabad, PIN - 380004, India",380004,,
,BIHAR,PATNA,PATNA,"Jana Small Finance Bank Ltd , 1st floor, Mothers Building, Opp. Union Bank , Machuatoli,Arya Kumar Road, Patna -800004",800004,,
,DELHI,SOUTH WEST DELHI,VASANT KUNJ,"Jana Small Finance Bank LTD. unit no. G-03, Plot No.A, Sector-B, Ground floor, Vasant Square Mall,Vasant Kunj, New Delhi 110057",110057,,
,MAHARASHTRA,PUNE,DAPODI / KALEWADI 2,"Jana Small Finance Bank Ltd., 1st floor A wing, Ganesh Nagar, ganesh  temple height near vineyard workers church above axis bank first floor Dapodi, Pune -411012",411012,,
,CHHATTISGARH,BALODA BAZAR,AMERA,"Jana Small Finance Bank Ltd., S/o: Bisahat Rajak, 95, Ward no.7, gowardhan chouk, gatapar, gatapar. Baloda Bazar, Datan, Chhattisgarh, 493228",493228,,
,TAMIL NADU,KANCHEEPURAM,MADHURANTHAGAM,"Jana Small Finance Bank, No.1246/2, T.S No.8/2 Block No.25,Achirupakkam Main Road, Ambetkar Statue Opp, Madurathakam,Tamilnadu - 603306",603306,,
,KARNATAKA,HASSAN,HASSAN,"Jana Small Finance Bank .,‘Chandana Complex’ No : 102 Nirdharana No:211 bearing Property No: 8-1-501-66 0f Ward No :8-RC, Harsha Mahal Road, Hassan- 573201, Karnataka",573201,,
,ODISHA,MAYURBHANJ,LABANYDEIPUR,"Jana Small Finance Bank Ltd., At-Labanyadeipur, Po-Katuria,via-Kaptipada Dist-Mayurbhanj, Pin-757079",757079,,
,ODISHA,Dhenkenel,DHENKENEL,"Jana Small Finance Bank Ltd., Near budhi thakurani temple, Jublee Town, Dhenkanal 759001",759001,,
