Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
Sammaan Capital,Gujarat,Anand,Anand(Amul_Dairy_Road),"Shop No. 101,Maruti Sunand, F.P. No. 152/1, T.P. Scheme No. 2, Amul Dairy Road, - 388001",388001,,
Sammaan Capital,Rajasthan,Ajmer,Ajmer(Shantipura),"2Nd Floor, Plot Bearing No.02 (First Part), Ashok Vihar Colony, Near Hotel Man Singh, Shantipura, - 305004",305004,,
Sammaan Capital,Madhya Pradesh,Ratlam,Ratlam(Freeganj),"2Nd Floor,Floor, Plot Bearing Mu.No.102&103, Freeganj,Motilal Nehru Marg, - 457001",457001,,
Sammaan Capital,Madhya Pradesh,Bhopal,Bhopal(M.P.Nagar_Dst),"The Infinity"", 2Nd Floor 249, M.P. Nagar Zone-Ii, Adjucent To Hotel Tulsi Exotis - 462011",462011,,
Sammaan Capital,Haryana,Bahadurgarh,Bahadurgarh(Delhi_Rohtak_Road),"Ist Floor (Above Woodland Showroom), Khasra No.2368/2/1,2373,2382/2, Delhi-Rohtak Road - 124507",124507,,
Sammaan Capital,Delhi,New delhi,Newdelhi(Shakkarpur),"Plot No. Mb-160 A&B, 2Nd Floor, Shakkarpur, - 110092",110092,,
Sammaan Capital,Haryana,Faridabad,Faridabad(Bhadana_Complex),"2Nd Floor,Bp-47,Bhadana Complex, Neelam Bata Road, Nit - 121001",121001,,
Sammaan Capital,Rajasthan,Kankroli,Rajsamand(Gs_Empire),"100 Ft. Road 1St Floor ,Gs Empire, Opposite Hdfc Bank - 313324",313324,,
Sammaan Capital,Punjab,Ludhiana,Khanna(Purewal_Tower),"2Nd Floor,Purewal Tower, Samrala Chowk, - 141401",141401,,
Sammaan Capital,Uttar Pradesh,Aligarh,Aligarh(Ramghat_Road),"J-77,Second Floor,Sm Complex, Ramghat Road, - 202001",202001,,
Sammaan Capital,Rajasthan,Hanumangarh,Hanumangarh(Chak_3),"Part Of Killa No.12, Ground Floor,Chak 3, K.H.J.,S.No. 119/259, Near Au Small Finance Bank, Sgnr Road, Dhilon Colony - 335512",335512,,
Sammaan Capital,Maharashtra,Mumbai,Boisar(Ostwal_Empire),"Shop No. 6,7 & 8, 1St Floor, Ostwal Empire Office Building, Near Big Bazar, Plot Bearing S. No. 111/A-2, 111/1/2 & 111A/1/1, Boisar, Pal - 401501",401501,,
Sammaan Capital,Haryana,Jind,Jind(Sco-12),"Sco-12,District Shopping Complex, Urban Estate, - 126102",126102,,
Sammaan Capital,Uttar Pradesh,Prayagraj,Prayagraj(Vinayak_Tower),"E1 20,M G Marg,Civil Lines Vinayak Tower,Portion Of 2Nd Floor,124 - 211002",211002,,
Sammaan Capital,Rajasthan,Dausa,Dausa(Saraswati_Nagar),"Plot No. F/190/1, Khasra No. 1578, 1St Floor Saraswati Nagar Yojna, - 303303",303303,,
Sammaan Capital,Uttarakhand,Dehradun,Dehradun(Krishna_Plaza),"69,Ist Floor, Krishna Plaza,Rajpur Road, - 248001",248001,,
Sammaan Capital,Uttar Pradesh,Bulandshahar,Bulandshahar(D_M_Road),"4C-1/6,Avas Vikas Colony 1,D M Road - 203001",203001,,
Sammaan Capital,Andhra Pradesh,Nellore,Nellore(Mmr_Complex),"First Floor,26-3-6367,Padarupalli,Mini Bypass Road, - 524004",524004,,
Sammaan Capital,West Bengal,Kolkata,Kolkata(Kankaria_Centre),"Office No.6,3Rd Floor (Back Side), ?Kankaria Centre?,Plot No.2/1, Russell Street - 700071",700071,,
Sammaan Capital,Karnataka,Bengaluru,Bengaluru(Sahakarnagar),"No.508,1St Floor, 'Medini' 60Ft Road, F Block, Sahakarnagar, - 560092",560092,,
Sammaan Capital,Maharashtra,Satara,Satara(Sadarbazar),"F-1,1St Floor,Raja Bhosale Heights, Opp.Satara Bus Stand,Sadarbazar, - 415001",415001,,
Sammaan Capital,Uttar Pradesh,Ghaziabad,Kaushambi(Sec-14),"Ist&2Nd Floor,Commercial Complex, Plot No.3,Sec-14,Kaushambi, - 201012",201012,,
Sammaan Capital,Maharashtra,Pune,Pune(Pimpri_Msr_Capital_12&13),"Msr Capital, Near Morwadi Court, Pimpri, Office No. 12 & 13, 3Rd Floor, - 411018",411018,,
Sammaan Capital,Uttar Pradesh,Saharanpur,"Padma Plaza, Sahranpur","(Near Vishal Mega Mart) 1St Floor, Padma Plaza Commercial Plot No.1 Avas Vikas Delhi Road, - 247001",247001,,
Sammaan Capital,Gujarat,Gandhidham,Gandhidham(Rajdeep_Complex),"Office No. ? 6,Ist Floor,Rajdeep Complex, Plot -15,Sector-9/A,Gandhidham-Kutch - 370201",370201,,
Sammaan Capital,Uttar Pradesh,Noida,Noida(Sec_18_Som_Dutt_Tower),"Office No.701,7Th Floor ?Som Datt Tower? Property/Plot No. K-2,Sector -18 - 201301",201301,,
Sammaan Capital,Punjab,Patiala,Patiala(W_Tower),"Sco-81,82,1St Floor, New Leela Bhawan - 147001",147001,,
Sammaan Capital,Rajasthan,Jodhpur,Jodhpur(Gulandi_Bhawan),"Office No.9A/B,1St Floor,Gulandi Bhawan, Ratnada,Police Line Road - 342001",342001,,
Sammaan Capital,Maharashtra,Mumbai,Mumbai(Kalyan_Sahjanand_Chowk),"Office No.3(5,6&7),2Nd Floor, Ram Krishna Bhavan, Above Icici Bank,Sahajanand Chowk, Kalyan(W),Thane, - 421301",421301,,
Sammaan Capital,Haryana,Hisar,Hisar(Sco-71-72_Red_Square_Market),"1St Floor, Sco 71-72, Kamla Nagar, Red Square Market, - 125001",125001,,
Sammaan Capital,Uttar Pradesh,Agra,Agra(Vidhya_Nagar),"Ist Floor,Chanssuria Complex,Plot No.31, Khasra No. 71,Shastripuram Crossing, Mauza Dehtora,Vidhya Nagar,Sikandra - 282007",282007,,
Sammaan Capital,Gujarat,Ahmedabad,Ahmedabad(Radhika_4Th _Floor),Near Pantaloon Opp. Mayor Law Garden Ellisbridge 4Th Floor Radhika House - 380006,380006,,
Sammaan Capital,Rajasthan,Jaipur,Ashok Marg,"P.No.O-12 B, Ground Floor, Ashok Marg, C-Scheme, - 302001",302001,,
Sammaan Capital,Maharashtra,Nagpur,Nagpur(Kamptee_Road),"Jesus Calls Building, 1St Floor Besides Patni Automobiles Khampti Road, Sadar - 440001",440001,,
Sammaan Capital,Uttar Pradesh,Meerut,"Krishna Plaza, Opp. Choudhry Charan","Shop No. 101, 102, 103 & 104, Paergarh Chauraha, Garh Road, 1St Floor,Krishna Plaza,Opp.C.C.S.U - 250002",250002,,
Sammaan Capital,Delhi,New delhi,New Delhi(Pusa_Road),"Ugf Floor,Commercial Property Bearing No.Bp-3,Main Pusa Road Old Rajinder Nagar - 110060",110060,,
Sammaan Capital,Chandigarh,Chandigarh,Chandigarh(Sco-347&348),"Sco-347-348, Sector-35-B, - 160022",160022,,
Sammaan Capital,Gujarat,Bhuj,Bhuj(Vijay_Nagar),"Off. No. 2, Mezanine Floor, Shri Swaminarayan Vaniya Sankul Hospital - 370001",370001,,
Sammaan Capital,Rajasthan,Jaipur,Jaipur(Bagru),"Plot No.17,1St Floor, Shree Balaji Plaza, Badi Ka Kehda Dakbel - 303007",303007,,
Sammaan Capital,Andhra Pradesh,Kurnool,Kurnool(Park_Road),"Medum Compound, Park Road, D.No: 40/29-X-9-4E, 4Th Floor, S.P. Squa - 518001",518001,,
Sammaan Capital,Haryana,Rohtak,Rohtak(Civil_Road),"1St Floor,Bearing No.120-121 Civil Road,Delhi-Rohtak Road - 124001",124001,,
Sammaan Capital,Punjab,Roopnagar,Ropar(Scf-41_1St_Floor),"Scf No. 41, Above Octave Store, Bela Chowk, - 140113",140113,,
Sammaan Capital,Rajasthan,Barmer,Barmer(Laxmi_Nagar),"Bearing Ward No.33,Ray Colony Road Laxmi Nagar,Barmer Goswami Tower,1St Floor, Opp.Cmho Office, - 344001",344001,,
Sammaan Capital,Punjab,Bathinda,"Goniana Road, Bathinda","First Floor, Aura Heights Above Dena Bank Near Teen Koni Chowk , Goniana Road - 151001",151001,,
Sammaan Capital,Delhi,New delhi,Lajpat Nagar,"A-34, 3Rd Floor, Lajpat Nagar-2 - 110024",110024,,
Sammaan Capital,Rajasthan,Jaipur,Jaipur(Chaksu),"2Nd Floor Above Icici Bank, New Ward No. 19, Adjoining Pwd Office,Chaksu, - 303901",303901,,
Sammaan Capital,Tamil Nadu,Chennai,T-Nagar_Apex Chambers_1St Floor,"Old No-20, Theagaraya Road, T Apex Chambers,Easten Front Si - 600017",600017,,
Sammaan Capital,Andhra Pradesh,Vijayawada,"Labbipet, Vijayawada","40-1-140/3 Sri Pothuri Towers 3Rd Floor Above Airt M.G.Road, Labbipet - 520010",520010,,
Sammaan Capital,Tamil Nadu,Chennai,Chennai(Anna_Nagar_West_Woods),"2Nd Floor,?West Woods?, ?Y Block?,New No. 32(Old No. 205), 5Th Avenue,Anna Nagar, - 600040",600040,,
Sammaan Capital,Madhya Pradesh,Dewas,Dewas(A_B_Road),"Tilak Nagar,A.B.Road, Malwa Shehnai Complex,Ug Floor, - 455001",455001,,
Sammaan Capital,Madhya Pradesh,Gwalior,Gwalior(Anand_Deep),"Office No.S-9,2Nd Floor, Anand Deep,Plot No.43, City Center - 474011",474011,,
Sammaan Capital,Himachal Pradesh,Shimla,Shimla(Ish_Niketan),"3Rd Floor,Ish Niketan,New Lands Estate, Circular Road - 171001",171001,,
Sammaan Capital,Rajasthan,Chittorgarh,Chittorgarh(Mrps_Marg),"Of Plot No.17,Kailash Nagar ,Maha Rana Pratap Setu Marg, 2Nd Floor Of Commercial Complex On Part - 312001",312001,,
Sammaan Capital,Gujarat,Junagadh,Junagarh(Trident_Plaza),"Office No.309, 3Rd Floor, Trident Plaza, Off. Zanzarda Road - 362001",362001,,
Sammaan Capital,Haryana,Rewari,Rewari(Brass_Market_Sco-25),"Ist Floor,Sco-25,Sector-8,Brass Market Urban Estate,Rewari - 123401",123401,,
Sammaan Capital,Tamil Nadu,Chennai,Chennai(Manglam_Plaza),"Mgr Main Road Perungudi Kandhanchavadi Gd,1St And2Nd Floor, Mangalam Plaza 226/ - 607106",607106,,
Sammaan Capital,Tamil Nadu,Salem,Salem(Ram_Laxman_Tower),"No.5F, Sriram Ramnagar ,Algapuram 1St Floor,Ram Laxman Tower, - 636016",636016,,
Sammaan Capital,Gujarat,Godhra,Godhra(Lic_Road),"Officeno. 27-28, Ist Floor,Guruprasad Complex,Lic Road, - 389001",389001,,
Sammaan Capital,Gujarat,Valsad,Vapi(Solitaire),"Office No.Sb-1,2Nd Floor,Building B Solitaire Business Centre Block/Survey No.4110, - 396191",396191,,
Sammaan Capital,Telangana,Warangal,Warangal(J_P_N_Road),"8-12-149,D.S.Temple Street,J.P.N.Road, - 506002",506002,,
Sammaan Capital,Maharashtra,Mumbai,Mumbai(Badlapur_Shreeji_Center),"Shop No.115,116,117&118, Shreeji Center, Ghorpade Chowk, Katrap, - 421503",421503,,
Sammaan Capital,Maharashtra,Mumbai,Borivali(Ganjawala_Lane),"Ground & First Floor, Shop No. 7, Jalaram Business Center, Ganjawala Lane, Borivali (West), - 400092",400092,,
Sammaan Capital,Maharashtra,Ratnagiri,Ratnagiri(Shivajinagar),"2Nd Floor,Infinity Plaza,Siddhivinayak Nagar, Kolhapur-Ratnagiri Highway, Shivajinagar - 415612",415612,,
Sammaan Capital,Haryana,Panchkula,Pinjore(Laljeet_Complex_Bus_Stand),"2Nd Floor,Laljeet Complex, Nh-22 Bus Stand,Pinjore, - 134102",134102,,
Sammaan Capital,Rajasthan,Jaipur,Jaipur(Jagatpura),"P. No - 3, Vishnupuri Main Jagatpura Road Jagatpura - 302017",302017,,
