Bank,State,City,Branch,Address,Pincode,Latitude,Longitude
IndusInd Bank,Rajasthan,Jaipur,"Kalwar Road, Jaipur","Ground Floor,Shop .G-3&G-4 and Mezzanine Floor Shop S-3 & S-4,Plot .C-1,rishna Enclave-1Khasra 54/1,Kalwar Road,Jaipur,Rajasthan, Rajasthan",,26.94768,75.72442
IndusInd Bank,Bihar,Patna,"Anishabad, Patna",Ground Floor Radhika Complex Ballambi Chowk more Khagul Road Anishabad Patna -800 002 Bihar,,25.58381,85.09254
IndusInd Bank,Karnataka,Bangalore Urban,Sadashivnagar - Bangalore,"Ground Floor, #15 Sankey Road, Next to Shell Petrol Service Station, Lower Palace Orchard, Banglore 560080, Karnataka",560080,13.00461,77.58145
IndusInd Bank,Madhya Pradesh,Indore,"Vijay Nagar,","Ground Floor, Dhan Trident PU-4, Block No B3, AB Road, Satya Sai Square,  Vijay Nagar, Indore -452010, Madhya Pradesh",452010,22.753959,75.897359
IndusInd Bank,Uttar Pradesh,Budaun,Budaun,"Ground Floor,  OM Complex, Revenue/Municipal no. 826/750, Near Indra Chowk, Station Road, Civil Lines, Badaun- 243601, Uttar Pradesh",243601,28.029673,79.133352
IndusInd Bank,Kerala,Idukki,Kattapana,"Chamatharayil Building, Near  Idukki Kavala, Kuttikkanam Road - 685 508, Kerala",,9.7552,77.1118
IndusInd Bank,KERALA,Neyyattinkara,Balaramapuram,"Ground Floor, Door No. 19/215 / A , SR Plaza, Opp Nazarath School , Balaramapuram , Trivandrum - 695501 Kerala",695501,8.4266894,77.0405629
IndusInd Bank,Rajasthan,Anupgarh,Specialised Br Anupgarh,"52 & 53, Ground Floor, Opposite Sharda Nusing Home, Bikaner Road, Anupgarh, Sriganganagar, Rajasthan 335701",335701,29.1930408,73.2045577
IndusInd Bank,Andhra Pradesh,East Godavari,Kakinada,"Ground Floor, House No. 6-1-32, Jawahar Street, Surya Roa Peta, Beside Car World, Kakinada 533001, Andhra Pradesh",533001,16.961665,82.234295
IndusInd Bank,Andhra Pradesh,VISAKHAPATNAM,"Sujatha nagar, Vizag","Shop no 1&2 Phanindra Plaza Door no 7-190/1/14,Chinnamushidiwada, Visakhapatnam-530051  Andhra Pradesh",530051,17.8033075,83.2097433
IndusInd Bank,Gujarat,Ahmedabad,"Paldi Cross Road, Ahmedabad","Ground Floor, Shop No # 2 & 3, Gangandeep, Paldi Cross Road, Paldi, Ahmedabad- 380007, Gujarat",380007,23.001848,72.565378
IndusInd Bank,Delhi,North West,Sanjay Gandhi Transport Nagar,"Indusind bank,CW-235 1st floor Near IOCL Pumps, Sanjay Gandhi transport nagar,Delhi",,28.742136,77.150405
IndusInd Bank,Jharkhand,Pakur,Pakaur,"Bhagat Para, Below Sahara Office, Opp. Pakur Head PO, Pakur-Dumka main road, Pakur-816 107Jharkhand, Jharkhand",,24.638813,87.839472
IndusInd Bank,Jammu & Kashmir,Srinagar,"Saraf Kadal, Srinagar","Mallarata,Saraf Kadal,Srinagar J&K- Srinagar   UT-J&K 190002",190002,34.1018,74.7981
IndusInd Bank,Uttar Pradesh,Etawah,Saifai,"Ground Floor at Khasra No 292, Opp. Hospital, PGI Road, Saifai, (Dist: Etawah, U.P) 206130, Uttar Pradesh",206130,26.96122,78.96324
IndusInd Bank,Maharashtra,Solapur,SANGOLE (M CL),"Dnyaneshwar Complex, Survey No. 3149/6/2 Miraj Pandharpur Road, Sangola, Dist.: Solapur, PIN: 413307, Maharashtra",413307,17.26008,75.11155
